,team,W,L,W/L%,GB,PS/G,PA/G,SRS,year,confrence
455,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2005,Western
456,Seattle SuperSonics*,52,30,.634,—,98.9,96.6,2.59,2005,Western
457,Denver Nuggets*,49,33,.598,3.0,99.5,97.5,2.23,2005,Western
458,Minnesota Timberwolves,44,38,.537,8.0,96.8,95.3,1.73,2005,Western
459,Portland Trail Blazers,27,55,.329,25.0,92.9,96.9,-3.45,2005,Western
460,Utah Jazz,26,56,.317,26.0,93.0,97.3,-3.74,2005,Western
461,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2005,Western
462,Phoenix Suns*,62,20,.756,—,110.4,103.3,7.08,2005,Western
463,Sacramento Kings*,50,32,.610,12.0,103.7,101.6,2.56,2005,Western
464,Los Angeles Clippers,37,45,.451,25.0,95.7,96.5,-0.47,2005,Western
465,Los Angeles Lakers,34,48,.415,28.0,98.7,101.7,-2.32,2005,Western
466,Golden State Warriors,34,48,.415,28.0,98.7,100.9,-1.74,2005,Western
467,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2005,Western
468,San Antonio Spurs*,59,23,.720,—,96.2,88.4,7.84,2005,Western
469,Dallas Mavericks*,58,24,.707,1.0,102.5,96.8,5.86,2005,Western
470,Houston Rockets*,51,31,.622,8.0,95.1,91.0,4.27,2005,Western
471,Memphis Grizzlies*,45,37,.549,14.0,93.4,91.1,2.64,2005,Western
472,New Orleans Hornets,18,64,.220,41.0,88.4,95.5,-6.30,2005,Western
473,New Jersey Nets*,49,33,.598,—,93.8,92.4,1.11,2006,Eastern
474,Philadelphia 76ers,38,44,.463,11.0,99.4,101.3,-2.10,2006,Eastern
475,Boston Celtics,33,49,.402,16.0,98.0,99.5,-1.59,2006,Eastern
476,Toronto Raptors,27,55,.329,22.0,101.1,104.0,-3.03,2006,Eastern
477,New York Knicks,23,59,.280,26.0,95.6,102.0,-6.30,2006,Eastern
478,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2006,Eastern
479,Detroit Pistons*,64,18,.780,—,96.8,90.2,6.24,2006,Eastern
480,Cleveland Cavaliers*,50,32,.610,14.0,97.6,95.4,2.17,2006,Eastern
481,Indiana Pacers*,41,41,.500,23.0,93.9,92.0,1.62,2006,Eastern
