,team,W,L,W/L%,GB,PS/G,PA/G,SRS,year,confrence
959,San Antonio Spurs*,48,34,.585,5.0,111.7,110.0,1.80,2019,Western
960,Memphis Grizzlies,33,49,.402,20.0,103.5,106.1,-2.08,2019,Western
961,New Orleans Pelicans,33,49,.402,20.0,115.4,116.8,-1.10,2019,Western
962,Dallas Mavericks,33,49,.402,20.0,108.9,110.1,-0.87,2019,Western
963,Toronto Raptors*,53,19,.736,—,112.8,106.5,5.97,2020,Eastern
964,Boston Celtics*,48,24,.667,5.0,113.7,107.3,5.83,2020,Eastern
965,Philadelphia 76ers*,43,30,.589,10.5,110.7,108.4,2.25,2020,Eastern
966,Brooklyn Nets*,35,37,.486,18.0,111.8,112.3,-1.01,2020,Eastern
967,New York Knicks,21,45,.318,29.0,105.8,112.3,-6.72,2020,Eastern
968,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2020,Eastern
969,Milwaukee Bucks*,56,17,.767,—,118.7,108.6,9.41,2020,Eastern
970,Indiana Pacers*,45,28,.616,11.0,109.4,107.5,1.63,2020,Eastern
971,Chicago Bulls,22,43,.338,30.0,106.8,109.9,-4.00,2020,Eastern
972,Detroit Pistons,20,46,.303,32.5,107.2,110.8,-4.38,2020,Eastern
973,Cleveland Cavaliers,19,46,.292,33.0,106.9,114.8,-7.77,2020,Eastern
974,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2020,Eastern
975,Miami Heat*,44,29,.603,—,112.0,109.1,2.59,2020,Eastern
976,Orlando Magic*,33,40,.452,11.0,107.3,108.3,-0.93,2020,Eastern
977,Charlotte Hornets,23,42,.354,17.0,102.9,109.6,-7.03,2020,Eastern
978,Washington Wizards,25,47,.347,18.5,114.4,119.1,-5.24,2020,Eastern
979,Atlanta Hawks,20,47,.299,21.0,111.8,119.7,-7.71,2020,Eastern
980,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2020,Western
981,Denver Nuggets*,46,27,.630,—,111.3,109.2,2.35,2020,Western
982,Oklahoma City Thunder*,44,28,.611,1.5,110.4,108.4,2.33,2020,Western
983,Utah Jazz*,44,28,.611,1.5,111.3,108.8,2.52,2020,Western
984,Portland Trail Blazers*,35,39,.473,11.5,115.0,116.1,-0.61,2020,Western
985,Minnesota Timberwolves,19,45,.297,22.5,113.3,117.5,-4.02,2020,Western
986,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2020,Western
987,Los Angeles Lakers*,52,19,.732,—,113.4,107.6,6.28,2020,Western
988,Los Angeles Clippers*,49,23,.681,3.5,116.3,109.9,6.66,2020,Western
989,Phoenix Suns,34,39,.466,19.0,113.6,113.4,0.56,2020,Western
990,Sacramento Kings,31,41,.431,21.5,110.1,112.1,-1.59,2020,Western
991,Golden State Warriors,15,50,.231,34.0,106.3,115.0,-8.12,2020,Western
992,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2020,Western
993,Houston Rockets*,44,28,.611,—,117.8,114.8,3.13,2020,Western
994,Dallas Mavericks*,43,32,.573,2.5,117.0,112.1,4.87,2020,Western
995,Memphis Grizzlies,34,39,.466,10.5,112.6,113.7,-0.91,2020,Western
996,San Antonio Spurs,32,39,.451,11.5,114.1,115.2,-0.65,2020,Western
997,New Orleans Pelicans,30,42,.417,14.0,115.8,117.1,-0.55,2020,Western
998,Philadelphia 76ers*,49,23,.681,—,113.6,108.1,5.28,2021,Eastern
999,Brooklyn Nets*,48,24,.667,1.0,118.6,114.1,4.24,2021,Eastern
1000,New York Knicks*,41,31,.569,8.0,107.0,104.7,2.13,2021,Eastern
1001,Boston Celtics*,36,36,.500,13.0,112.6,111.2,1.32,2021,Eastern
1002,Toronto Raptors,27,45,.375,22.0,111.3,111.7,-0.54,2021,Eastern
1003,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2021,Eastern
1004,Milwaukee Bucks*,46,26,.639,—,120.1,114.2,5.57,2021,Eastern
1005,Indiana Pacers,34,38,.472,12.0,115.3,115.3,-0.13,2021,Eastern
1006,Chicago Bulls,31,41,.431,15.0,110.7,111.6,-0.94,2021,Eastern
1007,Cleveland Cavaliers,22,50,.306,24.0,103.8,112.3,-8.19,2021,Eastern
1008,Detroit Pistons,20,52,.278,26.0,106.6,111.1,-4.38,2021,Eastern
1009,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2021,Eastern
1010,Atlanta Hawks*,41,31,.569,—,113.7,111.4,2.14,2021,Eastern
1011,Miami Heat*,40,32,.556,1.0,108.1,108.0,-0.06,2021,Eastern
1012,Washington Wizards*,34,38,.472,7.0,116.6,118.5,-1.85,2021,Eastern
1013,Charlotte Hornets,33,39,.458,8.0,109.5,111.4,-1.94,2021,Eastern
1014,Orlando Magic,21,51,.292,20.0,104.0,113.3,-9.02,2021,Eastern
1015,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2021,Western
1016,Utah Jazz*,52,20,.722,—,116.4,107.2,8.97,2021,Western
1017,Denver Nuggets*,47,25,.653,5.0,115.1,110.1,4.82,2021,Western
1018,Portland Trail Blazers*,42,30,.583,10.0,116.1,114.3,1.81,2021,Western
1019,Minnesota Timberwolves,23,49,.319,29.0,112.1,117.7,-5.25,2021,Western
1020,Oklahoma City Thunder,22,50,.306,30.0,105.0,115.6,-10.13,2021,Western
1021,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2021,Western
1022,Phoenix Suns*,51,21,.708,—,115.3,109.5,5.67,2021,Western
1023,Los Angeles Clippers*,47,25,.653,4.0,114.0,107.8,6.02,2021,Western
1024,Los Angeles Lakers*,42,30,.583,9.0,109.5,106.8,2.77,2021,Western
1025,Golden State Warriors,39,33,.542,12.0,113.7,112.7,1.10,2021,Western
1026,Sacramento Kings,31,41,.431,20.0,113.7,117.4,-3.45,2021,Western
1027,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2021,Western
1028,Dallas Mavericks*,42,30,.583,—,112.4,110.2,2.26,2021,Western
1029,Memphis Grizzlies*,38,34,.528,4.0,113.3,112.3,1.07,2021,Western
1030,San Antonio Spurs,33,39,.458,9.0,111.1,112.8,-1.58,2021,Western
1031,New Orleans Pelicans,31,41,.431,11.0,114.6,114.9,-0.20,2021,Western
1032,Houston Rockets,17,55,.236,25.0,108.8,116.7,-7.50,2021,Western
1033,Boston Celtics*,51,31,.622,—,111.8,104.5,7.02,2022,Eastern
1034,Philadelphia 76ers*,51,31,.622,—,109.9,107.3,2.57,2022,Eastern
1035,Toronto Raptors*,48,34,.585,3.0,109.4,107.1,2.38,2022,Eastern
1036,Brooklyn Nets*,44,38,.537,7.0,112.9,112.1,0.82,2022,Eastern
1037,New York Knicks,37,45,.451,14.0,106.5,106.6,-0.01,2022,Eastern
1038,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2022,Eastern
1039,Milwaukee Bucks*,51,31,.622,—,115.5,112.1,3.22,2022,Eastern
1040,Chicago Bulls*,46,36,.561,5.0,111.6,112.0,-0.38,2022,Eastern
1041,Cleveland Cavaliers,44,38,.537,7.0,107.8,105.7,2.04,2022,Eastern
1042,Indiana Pacers,25,57,.305,26.0,111.5,114.9,-3.26,2022,Eastern
1043,Detroit Pistons,23,59,.280,28.0,104.8,112.5,-7.36,2022,Eastern
1044,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2022,Eastern
1045,Miami Heat*,53,29,.646,—,110.0,105.6,4.23,2022,Eastern
1046,Atlanta Hawks*,43,39,.524,10.0,113.9,112.4,1.55,2022,Eastern
1047,Charlotte Hornets,43,39,.524,10.0,115.3,114.9,0.53,2022,Eastern
1048,Washington Wizards,35,47,.427,18.0,108.6,112.0,-3.23,2022,Eastern
1049,Orlando Magic,22,60,.268,31.0,104.2,112.2,-7.67,2022,Eastern
1050,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2022,Western
1051,Utah Jazz*,49,33,.598,—,113.6,107.6,5.67,2022,Western
1052,Denver Nuggets*,48,34,.585,1.0,112.7,110.4,2.16,2022,Western
1053,Minnesota Timberwolves*,46,36,.561,3.0,115.9,113.3,2.53,2022,Western
1054,Portland Trail Blazers,27,55,.329,22.0,106.2,115.1,-8.55,2022,Western
1055,Oklahoma City Thunder,24,58,.293,25.0,103.7,111.8,-7.90,2022,Western
1056,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2022,Western
1057,Phoenix Suns*,64,18,.780,—,114.8,107.3,6.94,2022,Western
1058,Golden State Warriors*,53,29,.646,11.0,111.0,105.5,5.52,2022,Western
1059,Los Angeles Clippers,42,40,.512,22.0,108.4,108.4,0.09,2022,Western
1060,Los Angeles Lakers,33,49,.402,31.0,112.1,115.1,-3.08,2022,Western
1061,Sacramento Kings,30,52,.366,34.0,110.3,115.8,-5.26,2022,Western
1062,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2022,Western
1063,Memphis Grizzlies*,56,26,.683,—,115.6,109.9,5.37,2022,Western
1064,Dallas Mavericks*,52,30,.634,4.0,108.0,104.7,3.12,2022,Western
1065,New Orleans Pelicans*,36,46,.439,20.0,109.3,110.3,-0.84,2022,Western
1066,San Antonio Spurs,34,48,.415,22.0,113.2,113.0,0.02,2022,Western
1067,Houston Rockets,20,62,.244,36.0,109.7,118.2,-8.26,2022,Western
